id,genus,epithet,synonym,synonym_details.genus,synonym_details.epithet,registrant_name,originator_name,date_of_registration,seed_parent.genus,seed_parent.epithet,pollen_parent.genus,pollen_parent.epithet

# Baptistonia echinata is a synonym of Gomesa echinata according to POWO
137857,Oncidium,brunleesianum,true,Gomesa,echinata,This is a natural hybrid,This is a natural hybrid,,,,,

# Cymbidium Sedeni, Cymbidium Sedenii are synonyms
26130,Cymbidium,Lowio-grandiflorum,true,Cymbidium,Sedeni,Veitch,Veitch,1902/01/01,Cymbidium,lowianum,Cymbidium,hookerianum

# Tanake registered in 2001
104690,Calanthe,Bicolor,false,Calanthe,Takane,hort.,hort.,1900/01/01,Calanthe,discolor,Calanthe,striata

# Paphiopedilum Enchanted Mystery and Enchanted Claire have each other as parents
900792,Paphiopedilum,Enchanted Claire,false,,,Lehua,Orchid Zone,2008/04/14,,,Paphiopedilum,Clairkuli

# Listed as a synonym of itself
127202,Dendrobium,Long Tan,false,,,Down Under N.O.,Down Under N.O.,1999/06/09,Dendrobium,Beast,Dendrobium,Vivid

# Listed as a synonym but with no details
90774,Epicattleya,Zebra Rose,false,,,H.Edelbrock,H.Edelbrock,1992/02/03,Epidendrum,gracile,Cattleya,Claesiana Alba

# Listed as a synonym of 'Encyclia gracilis misapplied', which isn't a species
49012,Epidendrum,gracile,false,,,,,,,,,

# Listed as synonyms of each other
978784,Phalaenopsis,hygrochila,false,Hygrochilus,parishii,,,,,,,
920551,Gomesa,cruciata,false,Oncidium,cruciatum,,,,,,,

# Parent listed as itself
1017007,Serapias,× frigolae subsp. brundisina,true,,,,,,Serapias,bergonii,,

# The following have a parent that doesn't appear in the RHS Registrar data
# Vanda Vichot
1066018,Vandachostylis,Kultana Black,false,,,Kultana,Kultana,2024/08/19,,,Rhynchostylis,coelestis

# Holcovanstylis mitrata (Holcovanstylis is a neogenus so mitrata can't be a species)
1065728,Holcovanstylis,Sheng Yi Blue Sky,false,,,Sheng Yi Orch.,Sheng Yi Orch.,2024/08/05,,,Rhynchostylis,retusa

# Dendrobium Burana Doll
1064301,Dendrobium,Dr K Balanathan,false,,,R.Rajah,Rajah Sreenivasan,2024/04/21,Dendrobium,Bangkok Fancy,,

# Dendrobium Meiry Nasution
1064115,Dendrobium,Nona Hendrix,false,,,M.Shantiuli,M.Shantiuli,2024/04/11,Dendrobium,Kamilah Safira,,

# Dendrobium Elvita Sandra
1062253,Dendrobium,Narendra,false,,,N. Anindhita,N. Anindhita,2024/01/02,,,Dendrobium,Nandia Anindhita

# Phalaenopsis Jiuhbao Peach
1060654,Phalaenopsis,Jiuhbao Milky Way,false,Phalaenopsis,Jiuhbao Ben Fang,Huang,Huang,2023/11/16,Phalaenopsis,Jiuhbao Tide,,

# Zygopabstia,Nusa Dua
